Food,EAT_Lancet,Urban,Rural,Highest_MPCE_Urban,Highest_MPCE_Rural,Lowest_MPCE_Urban,Lowest_MPCE_Decile
Whole grains,811 (32%),"1029 (1023, 1034)(47%)","1275 (1269, 1282)(58%)","864 (831, 897)(28%)","1347 (1292, 1403)(42%)","1069 (1047, 1091)(65%)","1159 (1132, 1185)(70%)"
Potato and Cassava,39 (2%),"51 (51, 52)(2%)","63 (62, 64)(3%)","56 (52, 60)(2%)","58 (53, 62)(2%)","56 (53, 59)(3%)","57 (54, 61)(3%)"
Vegetables,78 (3%),"63 (62, 63)(3%)","53 (53, 54)(2%)","93 (89, 97)(3%)","90 (83, 97)(3%)","35 (34, 36)(2%)","30 (29, 31)(2%)"
Fruits,126 (5%),"46 (45, 47)(2%)","28 (27, 28)(1%)","122 (116, 129)(4%)","81 (77, 85)(3%)","9 (8, 10)(1%)","5 (4, 6)-"
Dairy Foods,153 (6%),"184 (182, 186)(8%)","145 (143, 148)(7%)","362 (347, 378)(12%)","366 (348, 383)(12%)","49 (45, 52)(3%)","27 (24, 30)(2%)"
Protein sources,726 (29%),"151 (149, 153)(7%)","125 (124, 127)(6%)","230 (219, 241)(7%)","262 (246, 277)(8%)","76 (74, 78)(5%)","63 (61, 66)(4%)"
All Animal source proteins,151 (6%),"33 (33, 34)(2%)","26 (25, 26)(1%)","60 (54, 65)(2%)","66 (60, 72)(2%)","10 (9, 11)(1%)","6 (5, 7)-"
Beef and lamb,15 (1%),"5 (5, 5)-","3 (3, 3)-","7 (6, 9)-","11 (8, 14)-","2 (1, 2)-","0 (0, 0)-"
Pork,15 (1%),"0 (0, 0)-","0 (0, 0)-","0 (0, 0)-","0 (0, 0)-","0 (?1, 0)-","0 (0, 0)-"
Poultry,62 (2%),"8 (8, 9)-","6 (6, 6)-","16 (14, 19)(1%)","16 (13, 20)(1%)","1 (1, 2)-","1 (0, 1)-"
Eggs,19 (1%),"10 (10, 10)-","6 (6, 6)-","18 (16, 20)(1%)","13 (12, 14)-","3 (2, 4)-","1 (1, 2)-"
Fish,40 (2%),"8 (8, 9)-","9 (9, 9)-","16 (14, 18)(1%)","23 (21, 26)(1%)","3 (2, 3)-","2 (2, 3)-"
Legumes,426 (17%),"95 (95, 96)(4%)","84 (83, 85)(4%)","122 (117, 127)(4%)","143 (132, 153)(5%)","61 (59, 63)(4%)","55 (53, 58)(4%)"
Tree nuts,149 (6%),"21 (21, 22)(1%)","14 (14, 15)(1%)","47 (43, 51)(2%)","52 (48, 56)(2%)","4 (3, 4)-","1 (1, 2)-"
Added fats,450 (18%),"271 (269, 274)(12%)","207 (204, 210)(9%)","370 (352, 388)(12%)","375 (316, 434)(12%)","137 (133, 142)(8%)","104 (100, 109)(6%)"
Palm Oil,60 (2%),"154 (151, 156)(7%)","94 (91, 97)(4%)","222 (206, 238)(7%)","201 (152, 250)(6%)","54 (49, 60)(3%)","38 (33, 43)(2%)"
Unsaturated Fats,354 (14%),"101 (99, 104)(5%)","107 (105, 109)(5%)","104 (94, 115)(3%)","147 (133, 161)(5%)","82 (76, 87)(5%)","65 (61, 70)(4%)"
Dairy Fats,0 (0%),"15 (15, 16)(1%)","5 (4, 5)-","42 (39, 46)(1%)","26 (14, 38)(1%)","0 (0, 1)-","0 (?1, 0)-"
Lard,36 (1%),–,–,–,–,–,–
All sweeteners,120 (5%),"114 (113, 115)(5%)","102 (101, 104)(5%)","139 (133, 145)(5%)","202 (178, 227)(6%)","65 (63, 68)(4%)","47 (45, 49)(3%)"
Processed Food,,"263 (256, 270)(12%)","204 (199, 209)(9%)","911 (821, 1001)(30%)","407 (356, 458)(13%)","131 (119, 142)(8%)","136 (123, 149)(8%)"
Spices,,"39 (39, 40)(2%)","35 (34, 35)(2%)","51 (49, 54)(2%)","63 (58, 68)(2%)","21 (21, 22)(1%)","18 (17, 18)(1%)"
Total,2503,2169,2214,3079,3174,1643,1645
