STATE CD,STATE,Month,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,Filing %age as on 30th Apr 2025
1,Jammu and Kashmir,2017-07-01T00:00:00Z,52455,38766,7339,46105,0.878943857
2,Himachal Pradesh,2017-07-01T00:00:00Z,53013,41795,6889,48684,0.918340784
3,Punjab,2017-07-01T00:00:00Z,220786,184145,22946,207091,0.937971611
4,Chandigarh,2017-07-01T00:00:00Z,20632,16980,3065,20045,0.97154905
5,Uttarakhand,2017-07-01T00:00:00Z,85370,59399,16154,75553,0.885006443
6,Haryana,2017-07-01T00:00:00Z,260418,210196,39492,249688,0.958797011
7,Delhi,2017-07-01T00:00:00Z,442968,372983,60293,433276,0.978120316
8,Rajasthan,2017-07-01T00:00:00Z,399525,308273,69251,377524,0.944932107
9,Uttar Pradesh,2017-07-01T00:00:00Z,738006,554678,125609,680287,0.921790609
10,Bihar,2017-07-01T00:00:00Z,187455,128425,34988,163413,0.871745219
11,Sikkim,2017-07-01T00:00:00Z,3154,2521,364,2885,0.914711477
12,Arunachal Pradesh,2017-07-01T00:00:00Z,4103,2743,694,3437,0.837679747
13,Nagaland,2017-07-01T00:00:00Z,3917,2301,831,3132,0.799591524
14,Manipur,2017-07-01T00:00:00Z,4283,2860,617,3477,0.811814149
15,Mizoram,2017-07-01T00:00:00Z,2451,1720,332,2052,0.837209302
16,Tripura,2017-07-01T00:00:00Z,13528,10411,1755,12166,0.899319929
17,Meghalaya,2017-07-01T00:00:00Z,11989,7830,2065,9895,0.825339895
18,Assam,2017-07-01T00:00:00Z,97283,58279,19604,77883,0.800581808
19,West Bengal,2017-07-01T00:00:00Z,347020,283210,27852,311062,0.896380612
20,Jharkhand,2017-07-01T00:00:00Z,82880,64366,11652,76018,0.917205598
21,Odisha,2017-07-01T00:00:00Z,139875,96806,25915,122721,0.87736193
22,Chhattisgarh,2017-07-01T00:00:00Z,83399,56262,16316,72578,0.870250243
23,Madhya Pradesh,2017-07-01T00:00:00Z,257308,197192,43591,240783,0.935777356
24,Gujarat,2017-07-01T00:00:00Z,564539,471922,68506,540428,0.957290816
25,Daman and Diu,2017-07-01T00:00:00Z,4349,3701,498,4199,0.965509312
26,Dadra and Nagar Haveli,2017-07-01T00:00:00Z,5291,4544,517,5061,0.956529957
27,Maharashtra,2017-07-01T00:00:00Z,914892,719136,144958,864094,0.944476507
29,Karnataka,2017-07-01T00:00:00Z,503407,384319,76230,460549,0.914864116
30,Goa,2017-07-01T00:00:00Z,22196,18039,2465,20504,0.923770049
31,Lakshadweep,2017-07-01T00:00:00Z,90,44,21,65,0.722222222
32,Kerala,2017-07-01T00:00:00Z,215930,179651,27735,207386,0.960431621
33,Tamil Nadu,2017-07-01T00:00:00Z,624866,493847,75077,568924,0.910473606
34,Puducherry,2017-07-01T00:00:00Z,14080,10983,2026,13009,0.923934659
35,Andaman and Nicobar Islands,2017-07-01T00:00:00Z,2489,1384,522,1906,0.765769385
36,Telangana,2017-07-01T00:00:00Z,201614,154366,24850,179216,0.888906524
37,Andhra Pradesh,2017-07-01T00:00:00Z,198028,149926,26659,176585,0.891717333
38,Ladakh,2017-07-01T00:00:00Z,,,,0,
97,Other Territory,2017-07-01T00:00:00Z,,,,0,
1,Jammu and Kashmir,2017-08-01T00:00:00Z,23864,17338,2287,19625,0.822368421
2,Himachal Pradesh,2017-08-01T00:00:00Z,22018,15849,1615,17464,0.793169225
3,Punjab,2017-08-01T00:00:00Z,86189,70068,2392,72460,0.840710532
4,Chandigarh,2017-08-01T00:00:00Z,9277,7966,358,8324,0.897272825
5,Uttarakhand,2017-08-01T00:00:00Z,34516,23113,2889,26002,0.753331788
6,Haryana,2017-08-01T00:00:00Z,106224,90425,3509,93934,0.8843011
7,Delhi,2017-08-01T00:00:00Z,156654,131398,7977,139375,0.889699593
8,Rajasthan,2017-08-01T00:00:00Z,126607,96765,5686,102451,0.809204862
9,Uttar Pradesh,2017-08-01T00:00:00Z,278909,200539,20002,220541,0.790727442
10,Bihar,2017-08-01T00:00:00Z,84976,49200,10610,59810,0.703845792
11,Sikkim,2017-08-01T00:00:00Z,1843,1343,220,1563,0.848073793
12,Arunachal Pradesh,2017-08-01T00:00:00Z,2893,1654,431,2085,0.72070515
13,Nagaland,2017-08-01T00:00:00Z,3140,1564,669,2233,0.711146497
14,Manipur,2017-08-01T00:00:00Z,3367,1942,445,2387,0.708939709
15,Mizoram,2017-08-01T00:00:00Z,1965,1232,297,1529,0.778117048
16,Tripura,2017-08-01T00:00:00Z,6493,4496,718,5214,0.803018635
17,Meghalaya,2017-08-01T00:00:00Z,7595,4171,1312,5483,0.721922317
18,Assam,2017-08-01T00:00:00Z,56748,29892,7035,36927,0.650718968
19,West Bengal,2017-08-01T00:00:00Z,162480,117667,11978,129645,0.797913589
20,Jharkhand,2017-08-01T00:00:00Z,43355,32023,3839,35862,0.82717103
21,Odisha,2017-08-01T00:00:00Z,57678,36623,6640,43263,0.750078019
22,Chhattisgarh,2017-08-01T00:00:00Z,37862,25395,3831,29226,0.77190851
23,Madhya Pradesh,2017-08-01T00:00:00Z,94897,73169,7070,80239,0.845537794
24,Gujarat,2017-08-01T00:00:00Z,224696,196120,8406,204526,0.910234272
25,Daman and Diu,2017-08-01T00:00:00Z,2512,2230,110,2340,0.931528662
26,Dadra and Nagar Haveli,2017-08-01T00:00:00Z,3208,2837,100,2937,0.915523691
27,Maharashtra,2017-08-01T00:00:00Z,336894,274069,22921,296990,0.881553248
29,Karnataka,2017-08-01T00:00:00Z,312358,244243,32366,276609,0.885551194
30,Goa,2017-08-01T00:00:00Z,10774,8605,971,9576,0.888806386
31,Lakshadweep,2017-08-01T00:00:00Z,152,51,18,69,0.453947368
32,Kerala,2017-08-01T00:00:00Z,127093,107843,11696,119539,0.94056321
33,Tamil Nadu,2017-08-01T00:00:00Z,436886,345177,35417,380594,0.871151742
34,Puducherry,2017-08-01T00:00:00Z,9277,7407,1015,8422,0.907836585
35,Andaman and Nicobar Islands,2017-08-01T00:00:00Z,2208,1088,395,1483,0.671648551
36,Telangana,2017-08-01T00:00:00Z,142285,105888,13753,119641,0.840854623
37,Andhra Pradesh,2017-08-01T00:00:00Z,129603,100118,10363,110481,0.852457119
38,Ladakh,2017-08-01T00:00:00Z,,,,0,
97,Other Territory,2017-08-01T00:00:00Z,20,18,1,19,0.95
1,Jammu and Kashmir,2017-09-01T00:00:00Z,62528,44930,10914,55844,0.893103889
2,Himachal Pradesh,2017-09-01T00:00:00Z,61691,46919,9532,56451,0.915060544
3,Punjab,2017-09-01T00:00:00Z,247374,208887,26167,235054,0.950196868
4,Chandigarh,2017-09-01T00:00:00Z,23418,18942,3416,22358,0.954735673
5,Uttarakhand,2017-09-01T00:00:00Z,100078,66450,21037,87487,0.874188133
6,Haryana,2017-09-01T00:00:00Z,302837,237446,49153,286599,0.946380396
7,Delhi,2017-09-01T00:00:00Z,521051,425161,73159,498320,0.956374712
8,Rajasthan,2017-09-01T00:00:00Z,435929,333154,77923,411077,0.942990716
9,Uttar Pradesh,2017-09-01T00:00:00Z,887856,632208,168490,800698,0.90183318
10,Bihar,2017-09-01T00:00:00Z,222312,140800,49100,189900,0.854204901
11,Sikkim,2017-09-01T00:00:00Z,3804,2770,651,3421,0.899316509
12,Arunachal Pradesh,2017-09-01T00:00:00Z,6068,3443,1311,4754,0.783454186
13,Nagaland,2017-09-01T00:00:00Z,4915,2592,1212,3804,0.773957274
14,Manipur,2017-09-01T00:00:00Z,6564,3787,1155,4942,0.752894576
15,Mizoram,2017-09-01T00:00:00Z,3300,2101,550,2651,0.803333333
16,Tripura,2017-09-01T00:00:00Z,16398,11658,2823,14481,0.883095499
17,Meghalaya,2017-09-01T00:00:00Z,14696,8521,3208,11729,0.798108329
18,Assam,2017-09-01T00:00:00Z,114311,64329,26299,90628,0.792819589
19,West Bengal,2017-09-01T00:00:00Z,416031,334128,50570,384698,0.924685901
20,Jharkhand,2017-09-01T00:00:00Z,100685,73455,17289,90744,0.901266326
21,Odisha,2017-09-01T00:00:00Z,162133,104518,34737,139255,0.858893624
22,Chhattisgarh,2017-09-01T00:00:00Z,93983,60376,20812,81188,0.863858357
23,Madhya Pradesh,2017-09-01T00:00:00Z,290350,212157,53488,265645,0.914913036
24,Gujarat,2017-09-01T00:00:00Z,682019,561269,94706,655975,0.961813381
25,Daman and Diu,2017-09-01T00:00:00Z,5056,4154,661,4815,0.952333861
26,Dadra and Nagar Haveli,2017-09-01T00:00:00Z,6403,5319,739,6058,0.946119007
27,Maharashtra,2017-09-01T00:00:00Z,1060520,813583,190345,1003928,0.946637499
29,Karnataka,2017-09-01T00:00:00Z,553919,400740,93892,494632,0.892968105
30,Goa,2017-09-01T00:00:00Z,25339,20038,3463,23501,0.927463594
31,Lakshadweep,2017-09-01T00:00:00Z,258,96,61,157,0.608527132
32,Kerala,2017-09-01T00:00:00Z,233233,187432,34991,222423,0.953651499
33,Tamil Nadu,2017-09-01T00:00:00Z,700632,523129,101264,624393,0.891185387
34,Puducherry,2017-09-01T00:00:00Z,15568,11649,2593,14242,0.914825283
35,Andaman and Nicobar Islands,2017-09-01T00:00:00Z,3908,1809,1031,2840,0.726714432
36,Telangana,2017-09-01T00:00:00Z,234895,168714,34952,203666,0.867051236
37,Andhra Pradesh,2017-09-01T00:00:00Z,216950,158358,33664,192022,0.885097949
38,Ladakh,2017-09-01T00:00:00Z,,,,0,
97,Other Territory,2017-09-01T00:00:00Z,25,22,1,23,0.92
1,Jammu and Kashmir,2017-10-01T00:00:00Z,25413,18405,2800,21205,0.834415457
2,Himachal Pradesh,2017-10-01T00:00:00Z,21474,16263,1736,17999,0.838176399
3,Punjab,2017-10-01T00:00:00Z,84164,72581,2721,75302,0.894705575
4,Chandigarh,2017-10-01T00:00:00Z,9465,8211,406,8617,0.910406762
5,Uttarakhand,2017-10-01T00:00:00Z,34094,23403,3411,26814,0.786472693
6,Haryana,2017-10-01T00:00:00Z,109560,93762,4336,98098,0.895381526
7,Delhi,2017-10-01T00:00:00Z,164695,136316,9273,145589,0.883991621
8,Rajasthan,2017-10-01T00:00:00Z,119115,98715,6356,105071,0.882097133
9,Uttar Pradesh,2017-10-01T00:00:00Z,272330,205339,22959,228298,0.83831381
10,Bihar,2017-10-01T00:00:00Z,80757,49283,11732,61015,0.75553822
11,Sikkim,2017-10-01T00:00:00Z,1925,1407,280,1687,0.876363636
12,Arunachal Pradesh,2017-10-01T00:00:00Z,3316,1828,576,2404,0.724969843
13,Nagaland,2017-10-01T00:00:00Z,3199,1597,776,2373,0.741794311
14,Manipur,2017-10-01T00:00:00Z,4160,2153,605,2758,0.662980769
15,Mizoram,2017-10-01T00:00:00Z,2275,1364,359,1723,0.757362637
16,Tripura,2017-10-01T00:00:00Z,6743,4621,837,5458,0.809432004
17,Meghalaya,2017-10-01T00:00:00Z,8161,4409,1593,6002,0.735449087
18,Assam,2017-10-01T00:00:00Z,54732,30510,7798,38308,0.699919608
19,West Bengal,2017-10-01T00:00:00Z,158774,121883,14597,136480,0.859586582
20,Jharkhand,2017-10-01T00:00:00Z,44777,33711,4514,38225,0.853674878
21,Odisha,2017-10-01T00:00:00Z,59901,37458,7637,45095,0.752825495
22,Chhattisgarh,2017-10-01T00:00:00Z,36736,25596,4407,30003,0.816719294
23,Madhya Pradesh,2017-10-01T00:00:00Z,95518,73937,8288,82225,0.860832513
24,Gujarat,2017-10-01T00:00:00Z,225967,202803,9769,212572,0.940721433
25,Daman and Diu,2017-10-01T00:00:00Z,2614,2318,119,2437,0.932287682
26,Dadra and Nagar Haveli,2017-10-01T00:00:00Z,3324,2943,113,3056,0.919374248
27,Maharashtra,2017-10-01T00:00:00Z,338572,281860,26553,308413,0.910922935
29,Karnataka,2017-10-01T00:00:00Z,318679,248455,35517,283972,0.891091035
30,Goa,2017-10-01T00:00:00Z,11292,8877,1125,10002,0.88575983
31,Lakshadweep,2017-10-01T00:00:00Z,176,64,23,87,0.494318182
32,Kerala,2017-10-01T00:00:00Z,127401,108168,13226,121394,0.952849664
33,Tamil Nadu,2017-10-01T00:00:00Z,444591,351203,39418,390621,0.878607529
34,Puducherry,2017-10-01T00:00:00Z,9544,7581,1104,8685,0.909995809
35,Andaman and Nicobar Islands,2017-10-01T00:00:00Z,2368,1130,480,1610,0.679898649
36,Telangana,2017-10-01T00:00:00Z,144948,108893,15644,124537,0.859183983
37,Andhra Pradesh,2017-10-01T00:00:00Z,129192,102060,11713,113773,0.880650505
38,Ladakh,2017-10-01T00:00:00Z,,,,0,
97,Other Territory,2017-10-01T00:00:00Z,29,26,1,27,0.931034483
1,Jammu and Kashmir,2017-11-01T00:00:00Z,26079,18699,3094,21793,0.835653208
2,Himachal Pradesh,2017-11-01T00:00:00Z,21456,16321,1973,18294,0.852628635
3,Punjab,2017-11-01T00:00:00Z,84375,73023,3194,76217,0.903312593
