STATE CD,STATE,Month,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,Filing %age as on 30th Apr 2025
1,Jammu and Kashmir,2017-07-01T00:00:00Z,52455,26501,22947,49448,0.942674673529692
2,Himachal Pradesh,2017-07-01T00:00:00Z,53013,31134,19999,51133,0.964537000358403
3,Punjab,2017-07-01T00:00:00Z,220786,156554,56528,213082,0.965106483200928
4,Chandigarh,2017-07-01T00:00:00Z,20632,14826,5853,20679,1.00227801473439
5,Uttarakhand,2017-07-01T00:00:00Z,85370,34316,47257,81573,0.955523017453438
6,Haryana,2017-07-01T00:00:00Z,260418,159587,97619,257206,0.987665983150166
7,Delhi,2017-07-01T00:00:00Z,442968,307172,141369,448541,1.01258104422893
8,Rajasthan,2017-07-01T00:00:00Z,399525,251205,139876,391081,0.97886490207121
9,Uttar Pradesh,2017-07-01T00:00:00Z,738006,398357,319847,718204,0.973168239824608
10,Bihar,2017-07-01T00:00:00Z,187455,83443,92030,175473,0.936080659358246
11,Sikkim,2017-07-01T00:00:00Z,3154,1941,1091,3032,0.961318960050729
12,Arunachal Pradesh,2017-07-01T00:00:00Z,4103,1212,2554,3766,0.91786497684621
13,Nagaland,2017-07-01T00:00:00Z,3917,934,2538,3472,0.886392647434261
14,Manipur,2017-07-01T00:00:00Z,4283,1431,2410,3841,0.896801307494747
15,Mizoram,2017-07-01T00:00:00Z,2451,796,1476,2272,0.926968584251326
16,Tripura,2017-07-01T00:00:00Z,13528,5590,7311,12901,0.953651685393258
17,Meghalaya,2017-07-01T00:00:00Z,11989,3931,7096,11027,0.919759779798148
18,Assam,2017-07-01T00:00:00Z,97283,37502,48828,86330,0.88741095566543
19,West Bengal,2017-07-01T00:00:00Z,347020,219688,106240,325928,0.939219641519221
20,Jharkhand,2017-07-01T00:00:00Z,82880,46423,34150,80573,0.972164575289575
21,Odisha,2017-07-01T00:00:00Z,139875,45509,89517,135026,0.965333333333333
22,Chhattisgarh,2017-07-01T00:00:00Z,83399,34671,44566,79237,0.950095324883991
23,Madhya Pradesh,2017-07-01T00:00:00Z,257308,106142,148956,255098,0.991411071556267
24,Gujarat,2017-07-01T00:00:00Z,564539,311664,244012,555676,0.98430046462689
25,Daman and Diu,2017-07-01T00:00:00Z,4349,2952,1375,4327,0.994941365831226
26,Dadra and Nagar Haveli,2017-07-01T00:00:00Z,5291,3187,1996,5183,0.97958797958798
27,Maharashtra,2017-07-01T00:00:00Z,914892,582682,319658,902340,0.986280347844336
29,Karnataka,2017-07-01T00:00:00Z,503407,264970,234886,499856,0.992946065509618
30,Goa,2017-07-01T00:00:00Z,22196,10043,11687,21730,0.979005226166877
31,Lakshadweep,2017-07-01T00:00:00Z,90,25,49,74,0.822222222222222
32,Kerala,2017-07-01T00:00:00Z,215930,113438,101727,215165,0.996457185198907
33,Tamil Nadu,2017-07-01T00:00:00Z,624866,312517,291129,603646,0.966040719130182
34,Puducherry,2017-07-01T00:00:00Z,14080,7676,6292,13968,0.992045454545455
35,Andaman and Nicobar Islands,2017-07-01T00:00:00Z,2489,703,1472,2175,0.873844917637605
36,Telangana,2017-07-01T00:00:00Z,201614,82109,111977,194086,0.962661323122402
37,Andhra Pradesh,2017-07-01T00:00:00Z,198028,105432,84068,189500,0.956935382875149
38,Ladakh,2017-07-01T00:00:00Z,,,,0,
97,Other Territory,2017-07-01T00:00:00Z,,,,0,
1,Jammu and Kashmir,2017-08-01T00:00:00Z,58371,20534,35122,55656,0.953487176851519
2,Himachal Pradesh,2017-08-01T00:00:00Z,58745,21838,33932,55770,0.949357392118478
3,Punjab,2017-08-01T00:00:00Z,239311,146224,85976,232200,0.970285528036739
4,Chandigarh,2017-08-01T00:00:00Z,22318,12862,9409,22271,0.997894076530155
5,Uttarakhand,2017-08-01T00:00:00Z,94845,26778,62069,88847,0.93675997680426
6,Haryana,2017-08-01T00:00:00Z,286641,130400,150716,281116,0.980725018402811
7,Delhi,2017-08-01T00:00:00Z,492379,214872,276666,491538,0.998291966148028
8,Rajasthan,2017-08-01T00:00:00Z,422945,180075,230383,410458,0.970476066628049
9,Uttar Pradesh,2017-08-01T00:00:00Z,835866,353698,446735,800433,0.957609234015979
10,Bihar,2017-08-01T00:00:00Z,213585,56009,138266,194275,0.909591029332584
11,Sikkim,2017-08-01T00:00:00Z,3593,1444,1970,3414,0.950180907319788
12,Arunachal Pradesh,2017-08-01T00:00:00Z,5300,716,3916,4632,0.873962264150943
13,Nagaland,2017-08-01T00:00:00Z,4679,564,3400,3964,0.84718957042103
14,Manipur,2017-08-01T00:00:00Z,5619,787,4032,4819,0.857625912084001
15,Mizoram,2017-08-01T00:00:00Z,2976,562,2116,2678,0.89986559139785
16,Tripura,2017-08-01T00:00:00Z,15567,3316,11254,14570,0.935954262221366
17,Meghalaya,2017-08-01T00:00:00Z,13712,2678,9605,12283,0.89578471411902
18,Assam,2017-08-01T00:00:00Z,111825,20779,74076,94855,0.848245025709814
19,West Bengal,2017-08-01T00:00:00Z,405036,135795,244804,380599,0.939667091320278
20,Jharkhand,2017-08-01T00:00:00Z,95439,33373,57278,90651,0.949831829755132
21,Odisha,2017-08-01T00:00:00Z,154796,43923,101804,145727,0.941413214811752
22,Chhattisgarh,2017-08-01T00:00:00Z,90219,26288,58778,85066,0.942883428102728
23,Madhya Pradesh,2017-08-01T00:00:00Z,276943,72970,197069,270039,0.975070682414793
24,Gujarat,2017-08-01T00:00:00Z,641658,248716,381768,630484,0.982585738820369
25,Daman and Diu,2017-08-01T00:00:00Z,4781,2112,2597,4709,0.98494038903995
26,Dadra and Nagar Haveli,2017-08-01T00:00:00Z,6053,2491,3354,5845,0.965636874277218
27,Maharashtra,2017-08-01T00:00:00Z,1006222,420286,566733,987019,0.98091574225171
29,Karnataka,2017-08-01T00:00:00Z,530355,209672,309526,519198,0.978963147325848
30,Goa,2017-08-01T00:00:00Z,23786,8001,15165,23166,0.973934247036072
31,Lakshadweep,2017-08-01T00:00:00Z,220,56,115,171,0.777272727272727
32,Kerala,2017-08-01T00:00:00Z,227531,52149,173189,225338,0.990361752904
33,Tamil Nadu,2017-08-01T00:00:00Z,673862,202444,440648,643092,0.954337831781581
34,Puducherry,2017-08-01T00:00:00Z,15013,5280,9599,14879,0.991074402184773
35,Andaman and Nicobar Islands,2017-08-01T00:00:00Z,3574,347,2624,2971,0.831281477336318
36,Telangana,2017-08-01T00:00:00Z,223860,63297,148210,211507,0.944818189940141
