Return Period,No. of Returns Filed,No. of GSTINs Making Payment,Nil Filers,Tax Paid in Cr.,Avg. Tax per GSTIN/quarter
JultoSep-19,1424155,4021776,402379,649.51,6356.72
AprtoJun-20,1391893,813938,577955,367.69,4517.46
JultoSep-20,1388760,918439,470321,549.4,5981.86
Jantomar-21,1352607,915800,436807,727.9,7948.25
Aprtojun-21,1320360,666334,654026,404.96,6077.49
OcttoDec-21,1285855,755374,530481,611.58,8096.36
JantoMar22,1270455,824743,445712,717.67,8701.7
Aprtojun-22,1221940,837204,384646,681.95,8144.74
Jultosep-22,1187926,833621,354305,675.97,8108.84
OcttoDec-22,1169899,841354,328545,734.91,8734.86
JantoMar-23,1155109,854001,301108,806.17,9439.87
Aprtojun-23,1104864,798193,306671,685.78,8591.6
Jultosep-23,1063674,785754,277920,667.51,8495.21
