state_code,state_name,YEAR,MONTH,no_suppliers_intra_state,no_eway_bills_intra_state,asset_value_intra_state,no_suppliers_inter_state_outward,no_eway_bills_inter_state_outward,asset_value_inter_state_outward,no_suppliers_inter_state_inward,no_eway_bills_inter_state_inward,asset_value_inter_state_inward
1, JAMMU AND KASHMIR,2018,7,3171,120989,2083.766209,1711,25744,2243.508837,15449,151999,4567.124618
2, HIMACHAL PRADESH,2018,7,5581,185647,3606.371824,4342,225165,9139.166811,19921,264357,7349.062066
3, PUNJAB,2018,7,48967,1327692,26608.33363,40582,658742,19846.07278,53191,599862,21230.78996
4, CHANDIGARH,2018,7,1950,25684,406.9713058,4534,67147,1142.360212,7469,91630,1997.954865
5, UTTARAKHAND,2018,7,8776,495449,7829.575274,6308,298486,15067.08139,18987,406753,12250.38402
6, HARYANA,2018,7,50698,2373359,40871.83266,46642,1810409,51873.81852,76656,1306910,48813.17585
7, DELHI,2018,7,43214,681221,21545.28311,104197,1292894,32072.16417,99571,1106377,36953.4485
8, RAJASTHAN,2018,7,52193,1237285,26277.73992,39430,1018174,24360.04615,72651,849514,30016.39682
9, UTTAR PRADESH,2018,7,85448,2485159,49414.40638,57189,1029488,43089.27628,130330,1543210,55518.12719
10, BIHAR,2018,7,4282,181249,5146.468029,5024,46123,1998.444586,39139,388765,11642.23378
11, SIKKIM,2018,7,101,2316,35.45238405,159,6650,1981.074916,1344,24042,628.1759205
12, ARUNACHAL PRADESH,2018,7,72,1780,22.05102024,129,1576,70.70993943,1870,15791,301.3919967
13, NAGALAND,2018,7,35,711,32.20222559,167,1824,57.0765894,1901,17090,396.9211778
14, MANIPUR,2018,7,40,1043,23.22021406,56,389,10.16428426,1886,17356,399.1870174
15, MIZORAM,2018,7,13,298,4.568783737,45,182,12.60715953,1282,12245,267.309086
16, TRIPURA,2018,7,390,9982,144.8849176,207,1800,149.0581248,3103,25007,591.9384066
17, MEGHALAYA,2018,7,238,7219,147.5798496,306,24848,414.1055763,2645,26130,604.1898542
18, ASSAM,2018,7,8110,278802,5585.846815,6776,115535,4894.171593,20127,207403,7394.190103
19, WEST BENGAL,2018,7,34335,1099145,33581.51295,34375,570188,25342.39832,50570,762564,32974.45929
20, JHARKHAND,2018,7,7624,380312,8662.063234,5847,191945,11034.30572,20041,287162,10718.29759
21, ODISHA,2018,7,9635,527811,11990.22506,4495,173723,19874.39094,22982,280269,13360.52601
22, CHHATTISGARH,2018,7,5333,178693,5049.140302,6378,157644,9891.070354,19517,274138,10063.28653
23, MADHYA PRADESH,2018,7,12418,246875,6015.145811,15566,325727,15999.75052,54279,620544,20846.60878
24, GUJARAT,2018,7,54239,1323448,37367.12048,100201,2484835,69993.96588,99351,1148821,52137.85633
25, DAMAN AND DIU,2018,7,876,26354,889.6678483,1586,156256,4195.917679,2092,67609,5540.557102
26, DADRA AND NAGAR HAVELI,2018,7,990,46369,1835.027187,1794,218056,7661.882277,2552,98216,6927.265632
27, MAHARASHTRA,2018,7,104046,4293720,97616.71512,88145,2537744,88135.34218,152058,1872151,85210.24338
29, KARNATAKA,2018,7,68856,2581878,50787.67394,38290,1153290,40646.60745,82145,1227272,45328.46533
30, GOA,2018,7,1164,56256,941.7900751,1285,54022,3723.437805,5654,83658,3157.265487
31, LAKSHADWEEP,2018,7,0,0,0,1,2,0.0159729,21,306,2.800956079
32, KERALA,2018,7,25911,836159,13796.34422,11412,146834,5710.122074,44439,688528,16757.03801
33, TAMIL NADU,2018,7,56442,2853320,59655.79916,56196,1478286,58661.84277,90260,1361414,58248.0429
34, PUDUCHERRY,2018,7,742,28428,901.8706431,1563,96414,2755.569387,4183,80553,2387.90594
35, ANDAMAN AND NICOBAR,2018,7,21,323,6.174330976,60,211,20.27505166,835,6965,168.206696
36, TELANGANA,2018,7,21541,899444,19907.60552,21959,411704,19662.40046,46698,646254,25838.47774
37, ANDHRA PRADESH,2018,7,25756,981997,18334.8665,16282,362407,23846.01679,53563,587192,24182.18818
1, JAMMU AND KASHMIR,2018,8,3292,126112,2245.775478,1996,30376,2535.885482,17023,180173,5157.64288
2, HIMACHAL PRADESH,2018,8,5834,215642,3950.790683,4554,267605,10916.08691,20946,302942,8646.460325
3, PUNJAB,2018,8,52065,1510828,31806.06556,45166,868921,24070.06114,59184,766185,25672.10459
4, CHANDIGARH,2018,8,2057,27600,468.1701892,4728,77264,1424.655194,7938,112280,2352.638398
5, UTTARAKHAND,2018,8,8719,479625,10190.03835,6408,303268,15908.95175,19693,410133,12480.84467
6, HARYANA,2018,8,52495,2433392,43381.09635,48580,1929364,55378.64001,80892,1476868,54373.03731
7, DELHI,2018,8,46995,757089,24760.45273,111037,1532182,36738.36952,104908,1309869,42541.58008
8, RAJASTHAN,2018,8,54690,1314030,28494.48775,42630,1159619,26938.5856,80547,993941,33690.27264
9, UTTAR PRADESH,2018,8,86811,2568545,51844.20282,60574,1129545,45613.14303,137375,1754721,61932.64461
10, BIHAR,2018,8,4142,186405,4982.76572,4958,45829,2053.452188,42156,503371,12133.86928
11, SIKKIM,2018,8,94,2587,53.30659949,152,6486,1942.054323,1355,25156,723.8836675
12, ARUNACHAL PRADESH,2018,8,81,1800,24.6688294,147,1567,74.061772,2184,20276,358.4922762
13, NAGALAND,2018,8,44,673,20.50229368,185,2349,78.64193872,2074,18606,366.1447243
14, MANIPUR,2018,8,42,2616,43.71652266,73,392,14.51569792,2041,22642,494.1104646
15, MIZORAM,2018,8,11,368,3.943447641,45,199,11.87095271,1344,12673,278.9568753
16, TRIPURA,2018,8,470,11810,192.241478,245,1732,161.8915214,3831,37427,737.4469665
17, MEGHALAYA,2018,8,241,7849,141.0720218,321,25371,412.3033149,2742,30949,677.3491152
18, ASSAM,2018,8,8783,301195,5984.751057,7167,126832,5300.322086,22947,283676,8200.955873
19, WEST BENGAL,2018,8,33014,1108716,34161.01276,35915,616806,26995.43481,55331,970128,35578.04351
20, JHARKHAND,2018,8,7479,383550,8713.932797,5621,184640,11600.13881,21291,334853,11377.99408
21, ODISHA,2018,8,10134,564865,12917.91293,4759,189975,21282.74169,25270,324711,14070.14651
22, CHHATTISGARH,2018,8,4800,166039,5225.795658,6691,157796,10650.92391,20987,371649,11610.10308
23, MADHYA PRADESH,2018,8,13415,274112,7069.116026,16785,354313,17886.90178,60615,788530,24512.72572
24, GUJARAT,2018,8,60563,1579416,45342.4877,110295,3613338,89600.27431,111115,1371995,65005.59005
25, DAMAN AND DIU,2018,8,928,29113,950.2276155,1625,193176,5440.162046,2179,78015,5236.755762
26, DADRA AND NAGAR HAVELI,2018,8,1053,51137,1809.271414,1860,270332,10410.76615,2741,115887,9205.670989
27, MAHARASHTRA,2018,8,105785,4636944,112397.8293,96381,3074382,107135.2452,172789,2301298,102803.2729
29, KARNATAKA,2018,8,71587,2748567,54602.99093,40833,1270260,44873.56532,90358,1471131,51247.41711
30, GOA,2018,8,1245,66036,1076.794644,1405,61587,4370.551332,6691,104332,3641.849774
31, LAKSHADWEEP,2018,8,0,0,0,1,3,0.0321936,31,252,3.898111553
32, KERALA,2018,8,25449,771061,13524.29352,10893,134186,5843.1894,45745,615261,15782.01266
33, TAMIL NADU,2018,8,57557,2908261,62428.45178,59722,1650147,65032.9081,96604,1511263,62782.08452
34, PUDUCHERRY,2018,8,752,29211,1111.095218,1604,105525,3194.490932,4323,87491,2806.681374
35, ANDAMAN AND NICOBAR,2018,8,13,285,9.024778844,62,231,27.17680614,918,8206,178.4248409
36, TELANGANA,2018,8,22355,972673,21361.16241,23508,474219,21530.81347,51607,783774,29577.16301
37, ANDHRA PRADESH,2018,8,27138,1089732,19676.72542,18129,389635,26396.24173,61724,735434,29048.17945
1, JAMMU AND KASHMIR,2018,9,3484,130396,2387.847555,2114,30149,2215.296839,16962,186069,5240.539348
2, HIMACHAL PRADESH,2018,9,5818,205533,3962.13451,4524,259345,10650.31008,19633,282299,8329.597831
3, PUNJAB,2018,9,48931,1257940,29472.90589,44721,897349,23596.04761,58855,748180,24162.52997
4, CHANDIGARH,2018,9,1964,25148,409.1301477,4721,75076,1361.589219,7836,107479,2314.346288
5, UTTARAKHAND,2018,9,9163,554705,10080.75613,6609,337364,17877.55011,20947,448317,13049.82359
6, HARYANA,2018,9,53485,2370829,44200.29193,49215,1957937,57108.63331,81029,1451675,55220.63666
7, DELHI,2018,9,48421,764179,26133.61036,113149,1614694,37962.44481,106193,1322074,44092.15371
8, RAJASTHAN,2018,9,53640,1211954,27683.32155,42233,1163349,27428.08186,79987,978291,34037.57423
9, UTTAR PRADESH,2018,9,91003,2673586,56002.94598,63044,1193673,49195.47503,144756,1849124,65804.86155
